what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350164354838
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350164354838
java.vm.specification.version,sysinfo,,,"1.0",1350164354838
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350164354838
java.vm.version,sysinfo,,,"20.6-b01",1350164354838
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1350164355977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350164357374
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1350164361438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350164646694
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350164655897
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1350164656375
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1350164656383
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1350164656575
